wrong,right
bpk,bapak
qta,kita
Qta,kita
dg,dengan
yg,yang
manusia2,manusia manusia
hakim2,hakim hakim
tp,tetapi
gw,saya
psk,pak
ga,tidak
mah,maka
Moga,semoga
tuk,untuk
rkyt,rakyat
mndukung,mendukung
sepenuhny,sepenuhnya
Dn,dan
tdk,tidak
d,di
kayak,seperti
ngri,negeri
Apakh,apakah
ni,ini
Bner,benar
kta,kata
sdh,sudah
atw,atau
mapia,mafia
orang2,orang-orang
ngga,tidak
oengadilan,pengadilan
kira2,kira kira
ngak,tidak
Krn,karena
orng,orang
jadiin,jadikan
trus,kemudian
lg,lagi
tsb,tersebut
dri,dari
babt,babat
jdi,jadi
BNR,benar
bkn,bukan
Krn,karena
jamgan,jangan
bakal,akan
adlh,adalah
pdhl,padahal
dpt,dapat
Gmn,bagaimana
bs,bisa
ortu,orang tua
wkl,wakil
gw,saya
gak,tidak
sdm,sumber daya manusia
cman,hanya
krn,karena
TL,Tom Lembong
d,di
gk,tidak
Mlah,malah
bgini,seperti ini
jgn,jangan
sj,saja
dgn,dengan
Tp,tetapi
tpi,tetapi
sdh,sudah
spt,seperti
jg,juga
btul,betul
Klo,kalau
udh,sudah
stju,setuju
S7,setuju
Gw,saya
ga,tidak
dl,dulu
sblm,sebelum
mmbrika,memberikan
dlm,dalam
bs,bisa
jk,jika
tdk,tidak
dr,dari
HK,hakim
utk,untuk
ajah,saja
kmrn,kemaren
mjlnkn,menjalankan
hny,hanya
mwreka,mereka
Kl,kalau
dr,dari
sm,dengan
biar,supaya
msh,masih
uaut,usut
dg,dengan
skrg,sekarang
pndkung,pendukung
n,dan
mnghujat,menghujat
bnyk,banyak
kayak,seperti
emg,memang
bwt,untuk
ga,tidak
sm,dengan
dl,dulu

